"","datetime","city","country","shape"
"79137",2011-08-04,"kingman","us","changing"
"2407",2009-10-15,"ozark","us","other"
"82327",2007-09-14,"livermore","us","unknown"
"265",2011-10-10,"north platte","us","circle"
"87211",2012-09-30,"honokowai","us","cone"
"25465",2006-01-26,"bloomsburg","us","diamond"
"60184",2006-06-07,"monterrey (mexico)","","sphere"
"52098",1965-06-01,"chicago (bridgeport area)","us","light"
"69501",2013-07-04,"palm coast","us","rectangle"
"75339",1999-08-20,"white city","us","circle"
"88316",2011-09-07,"nassau county","us",""
"55776",2009-06-19,"dallas","us","disk"
"33255",2009-02-08,"franklin","us","light"
"84623",2010-09-21,"haddam","us","light"
"32735",2009-02-05,"olympia","us","rectangle"
"85971",2011-09-25,"marcell","us","circle"
"45575",2012-04-09,"raleigh","us","light"
"19128",1995-12-01,"mount shasta","us",""
"64213",1999-07-18,"east springfield","us","circle"
"81802",2003-09-12,"victoria (canada)","ca","circle"
"70796",2010-07-08,"carolina beach","us","disk"
"26593",2012-01-29,"st-eustache (canada)","","light"
"27861",2009-01-07,"dunnellon","us","light"
"49413",2013-05-26,"woodstock","us","other"
"40914",1994-04-15,"prescott","us","rectangle"
"71631",2008-08-11,"petersville","us","triangle"
"46616",2002-05-13,"monroe city","us","teardrop"
"26417",2004-12-09,"mariposa","us","light"
"50155",2006-05-31,"palm desert","us","light"
"27876",2011-01-07,"bremen","us","other"
"66959",2013-07-27,"carlisle","us","triangle"
"19274",2003-12-01,"hodgenville","us","unknown"
"39131",2013-03-07,"alamosa","us","light"
"78185",2002-08-30,"kerry (republic of ireland)","","sphere"
"32270",1996-02-29,"cedar springs","us",""
"35933",2008-03-19,"redmond","us","oval"
"76989",2001-08-25,"deer park","us","light"
"3708",2012-10-20,"severn","us","circle"
"79730",1969-08-07,"riverton (canada)","ca","circle"
"22598",2013-12-24,"bristol","us","diamond"
"64741",1993-07-20,"maltby (snohomish&#44 woodinville)","us","diamond"
"71759",2013-08-11,"belmar","us","disk"
"57082",2012-06-23,"miles city","us","fireball"
"26570",2012-01-29,"lacey","us","flash"
"83698",2010-09-18,"dieppe (canada)","ca","light"
"14523",2008-11-26,"maumelle","us","other"
"26445",2006-12-09,"chilliwack (canada)","ca","oval"
"38537",2011-03-04,"seminole","us","oval"
"8541",2005-11-10,"atlanta","us","unknown"
"86201",2012-09-26,"augusta","us",""
"85655",2006-09-24,"wenatchee","us","chevron"
"20303",2003-12-15,"baling (malaysia)","","circle"
"60482",2013-06-08,"johns creek","","disk"
"4165",1989-10-22,"fayetteville","us","fireball"
"57350",2013-06-24,"morgan","us","fireball"
"26850",2007-01-31,"miami","us","light"
"48829",2006-05-23,"tuscola","us","light"
"56504",2008-06-02,"cold spring","us","light"
"66895",2009-07-27,"quetico provincial park (canada)","","light"
"46980",1980-05-15,"st. cloud","us","other"
"49236",1990-05-26,"lenexa","us","other"
"83519",2013-09-17,"blackwood","us","sphere"
"61002",2012-07-10,"bevington","us","triangle"
"5773",1998-10-29,"yuba city","us","fireball"
"30532",2002-02-20,"elm grove","us","triangle"
"14747",2011-11-27,"ephrata","us","disk"
"88447",2003-09-08,"anchorage","us","light"
"12029",1988-01-01,"kenner","us","circle"
"42113",2005-04-20,"gderot settlements (israel)","","circle"
"87206",2012-09-30,"dexter","us","triangle"
"75900",2013-08-21,"fort wayne","us","fireball"
"74263",2005-08-16,"aurora","us","light"
"84563",2007-09-21,"rosebud","us","changing"
"13619",2003-11-22,"calhoun (north of)","us","circle"
"5321",2013-10-26,"mustang","us","fireball"
"8197",1978-01-10,"gateshead&#44tyne &amp; wear (uk/england)","","other"
"54485",1995-06-15,"thomson","us","oval"
"23834",2001-12-31,"mission","us","unknown"
"74065",2011-08-15,"torreon&#44 coahuila (mexico)","","cigar"
"45061",1994-04-07,"jackson","us","light"
"66757",1999-07-27,"ravenna","us","disk"
"85168",2007-09-22,"franconia notch","","cigar"
"20138",2012-12-14,"wasilla","us","fireball"
"20148",2013-12-14,"ontario","us","fireball"
"20154",2013-12-14,"santa maria/orcutt","","fireball"
"81617",2012-09-01,"oyster bay","us","fireball"
"68812",2008-07-04,"indianapolis","us","other"
